                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds 
                                      50                                      677                  1.0000000000000000E+000                  2.0000000000000000E-002                  2.5901696944686015E-001                  4.3173326401963828E-002                  2.3329835303291142E+002                  2.6590451210690660E-007                  3.1608096609250869E-001                 -2.0001332933385022E+001                  7.3000000000000020E-001                  2.6605031474230913E-005                  2.4997339496852583E-001                  3.4416073257059884E-003                  1.0081585205319675E-003                  9.3604492797742123E-003                  2.0994604783340916E-003                  9.0133452877088572E-005                  0.0000000000000000E+000                  6.5797420600274654E-005                  2.3980033506760510E-009                  2.2530965215921471E-005                  3.1020395171296367E-007                  9.0868808503003458E-008                  8.4368961406690690E-007                  1.8923162209123565E-007                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.0121159010759204E-005                  3.0527919570640788E-001                  9.0100351140078732E-005                  2.9738711308094579E-001                  1.8740798162205826E+005                  2.2689634765535709E+006                  3.3896924938547310E+012                  5.9289714510017734E-025                  5.9289714510017734E-025                  0.0000000000000000E+000                  2.3721374444777336E-026                  5.0000000000000000E+001                  1.0000000000000000E+003                  8.1740963702051584E+006 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                radius_cm                               mass_grams                              temperature                                   energy                                  density                                  entropy                                     logS                                 pressure                                       mu                                    grada                                       cv                                       cp                                   gamma1                                  opacity                               luminosity                                     logL                                    gradT                             d_gradT_dlnR                             actual_gradT                                    gradr                                    gradL                               sch_stable                            ledoux_stable                                      tau                               extra_heat                     log_irradiation_heat 
                                       1                  9.0133452877088572E-005                 -5.0020165591581434E-001                  2.3679116738719701E+000                 -5.6087593312233031E+000                  4.3121567588195289E+000                  7.3000000000000009E-001                  2.5000000000000000E-001                  1.9999999999999907E-002                  2.1998603078106419E+010                  1.7929346446310457E+029                  2.3329835355096910E+002                  1.8919053224917049E+010                  2.4617314201411590E-006                  8.5447471256777110E+000                  8.8515339144057563E+000                  2.0519026805169506E+004                  2.5399999999999991E+000                  3.0924984329337424E-001                  7.9797586121379480E+007                  1.1551714396499872E+008                  1.4464877834979912E+000                  8.0339784731852087E-004                  2.6590451210690660E-007                 -6.5752742931065473E+000                  1.2500000113304627E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.2500000113304627E-001                  3.0924984329337424E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666666666666663E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       2                  9.0133452876998434E-005                 -5.0020165615224899E-001                  2.3679116772473190E+000                 -5.6087593075958617E+000                  4.3121567858223191E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998603066130142E+010                  1.7929346446292527E+029                  2.3329835536417053E+002                  1.8919053370040028E+010                  2.4617315540696786E-006                  8.5447471098122421E+000                  8.8515339135993791E+000                  2.0519028080965098E+004                  2.5399999999999983E+000                  3.0924984304593317E-001                  7.9797586224346519E+007                  1.1551714406796399E+008                  1.4464877827839933E+000                  8.0339788652076442E-004                  2.6590451507792040E-007                 -6.5752742882540733E+000                  1.2500000538281381E-001                  0.0000000000000000E+000                  1.2500001029987667E-001                  1.2500000538281381E-001                  3.0924984322267679E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666669035284809E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       3                  9.0133452876773110E-005                 -5.0020165674333694E-001                  2.3679116832747282E+000                 -5.6087592654040064E+000                  4.3121568340415841E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998603036189373E+010                  1.7929346446247706E+029                  2.3329835860203042E+002                  1.8919053629188370E+010                  2.4617317932277372E-006                  8.5447470814811091E+000                  8.8515339121594234E+000                  2.0519030359171618E+004                  2.5399999999999983E+000                  3.0924984260407429E-001                  7.9797586408216223E+007                  1.1551714425183058E+008                  1.4464877815089969E+000                  8.0339795652477699E-004                  2.6590452250545501E-007                 -6.5752742761228866E+000                  1.2500002313970388E-001                  0.0000000000000000E+000                  1.2500002106620656E-001                  1.2500002313970388E-001                  3.0924984286918961E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666674956830463E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       4                  9.0133452876435096E-005                 -5.0020165762997049E-001                  2.3679116905076198E+000                 -5.6087592147737846E+000                  4.3121568919046958E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998602991278145E+010                  1.7929346446180469E+029                  2.3329836248746273E+002                  1.8919053940166489E+010                  2.4617320802174189E-006                  8.5447470474837743E+000                  8.8515339104314776E+000                  2.0519033093019450E+004                  2.5399999999999983E+000                  3.0924984207384348E-001                  7.9797586628859863E+007                  1.1551714447247052E+008                  1.4464877799790017E+000                  8.0339804052959789E-004                  2.6590453364675730E-007                 -6.5752742579261065E+000                  1.2500004977504167E-001                  0.0000000000000000E+000                  1.2500004957022165E-001                  1.2500004977504167E-001                  3.0924984233895891E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666683839149754E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       5                  9.0133452876097096E-005                 -5.0020165851660248E-001                  2.3679117001514762E+000                 -5.6087591472668379E+000                  4.3121569690555006E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998602946366993E+010                  1.7929346446113235E+029                  2.3329836766803953E+002                  1.8919054354803967E+010                  2.4617324628702869E-006                  8.5447470021539758E+000                  8.8515339081275499E+000                  2.0519036738149924E+004                  2.5399999999999983E+000                  3.0924984136686912E-001                  7.9797586923051462E+007                  1.1551714476665707E+008                  1.4464877779390080E+000                  8.0339815253600464E-004                  2.6590454478806001E-007                 -6.5752742397293273E+000                  1.2500007641038011E-001                  0.0000000000000000E+000                  1.2500007270401778E-001                  1.2500007641038011E-001                  3.0924984180872811E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666692721470011E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       6                  9.0133452875533772E-005                 -5.0020165999432242E-001                  2.3679117122062991E+000                 -5.6087590628831707E+000                  4.3121570654939880E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998602871515076E+010                  1.7929346446001176E+029                  2.3329837414376195E+002                  1.8919054873100880E+010                  2.4617329411863638E-006                  8.5447469454918323E+000                  8.8515339052476456E+000                  2.0519041294563052E+004                  2.5399999999999983E+000                  3.0924984048315085E-001                  7.9797587290790960E+007                  1.1551714513439037E+008                  1.4464877753890155E+000                  8.0339829254401753E-004                  2.6590456335689882E-007                 -6.5752742094013614E+000                  1.2500012080261236E-001                  0.0000000000000000E+000                  1.2500012312535724E-001                  1.2500012080261236E-001                  3.0924984092500996E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666707525339242E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       7                  9.0133452874970434E-005                 -5.0020166147204237E-001                  2.3679117302885357E+000                 -5.6087589363077166E+000                  4.3121572101516792E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998602796663158E+010                  1.7929346445889117E+029                  2.3329838385734723E+002                  1.8919055650546444E+010                  2.4617336586603884E-006                  8.5447468604986181E+000                  8.8515339009277891E+000                  2.0519048129182800E+004                  2.5399999999999983E+000                  3.0924983915757343E-001                  7.9797587842400283E+007                  1.1551714568599033E+008                  1.4464877715640265E+000                  8.0339850255600233E-004                  2.6590458192573884E-007                 -6.5752741790733955E+000                  1.2500016519484680E-001                  0.0000000000000000E+000                  1.2500016781113429E-001                  1.2500016519484680E-001                  3.0924984004129175E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666722329211159E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       8                  9.0133452873843758E-005                 -5.0020166442748393E-001                  2.3679117664530187E+000                 -5.6087586831569505E+000                  4.3121574994669283E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998602646959244E+010                  1.7929346445665000E+029                  2.3329840328452423E+002                  1.8919057205438000E+010                  2.4617350936082647E-006                  8.5447466905123779E+000                  8.8515338922880851E+000                  2.0519061798422787E+004                  2.5399999999999983E+000                  3.0924983650641791E-001                  7.9797588945619091E+007                  1.1551714678919047E+008                  1.4464877639140494E+000                  8.0339892257991891E-004                  2.6590461906342254E-007                 -6.5752741184174646E+000                  1.2500025397932210E-001                  0.0000000000000000E+000                  1.2500025322461647E-001                  1.2500025397932210E-001                  3.0924983827385494E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666751936963031E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
                                       9                  9.0133452871590434E-005                 -5.0020167033836538E-001                  2.3679118387820259E+000                 -5.6087581768560053E+000                  4.3121580780968793E+000                  7.3000000000000009E-001                  2.5000000000000006E-001                  1.9999999999999796E-002                  2.1998602347551498E+010                  1.7929346445216769E+029                  2.3329844213890544E+002                  1.8919060315223515E+010                  2.4617379635031908E-006                  8.5447463505404482E+000                  8.8515338750087036E+000                  2.0519089136904200E+004                  2.5399999999999983E+000                  3.0924983120410421E-001                  7.9797591152057484E+007                  1.1551714899559152E+008                  1.4464877486140939E+000                  8.0339976262748622E-004                  2.6590469333880433E-007                 -6.5752739971056045E+000                  1.2500043154830334E-001                  0.0000000000000000E+000                  1.2500043138453454E-001                  1.2500043154830334E-001                  3.0924983473898005E-001                  1.0000000000000000E+000                  1.0000000000000000E+000                  6.6666811152498939E-001                  0.0000000000000000E+000                 -9.8999999999999986E+001 
